Category,Task,Prompt
Data Map,Create Data Map Tracking People,"You are an expert in generating HTML code for visualizing security incident timelines. Your task is to create a complete HTML file that presents a security incident analysis in a clear, visually appealing, and structured format. The incident data will be provided to you in a structured format (see “Input Data Format” below).

Output Requirements:

HTML Structure: The output must be a complete, valid HTML5 document. Timeline Visualization: The core of the visualization is a timeline showing the sequence of events. Use a vertical line to represent the timeline. Timeline Items: Each event in the timeline should be represented as a distinct timeline item. Alternate the positioning of timeline items (left/right) for visual clarity. Message Bubbles: Each event should include a “message bubble” containing the text of the event. Alternate the background colors of the message bubbles between black and gray, representing different participants. Assume the first event is from the first participant in the data, and alternate from there. Icons: Include a Font Awesome icon at the beginning of each timeline item. Use the following icons based on the severity field in the input data: info: For severity of “Information” or “Normal”. Use the fas fa-info-circle icon. upload: For severity of “Suspicious”. Use the fas fa-upload icon. exclamation-triangle: For severity of “Critical”. Use the fas fa-exclamation-triangle icon. CSS Styling: Use inline CSS to style the elements. Include the following styles: A sans-serif font for the body. Styling for the timeline line, timeline items, dates, events, locations, message bubbles, and icons (colors, padding, border-radius). Font Awesome Integration: Include the Font Awesome 6.0.0 CDN link in the <head> section to ensure icons are displayed correctly. Data-Driven: The HTML should be generated based on the provided input data. It should be able to handle a variable number of timeline items. Accessibility: Include a <title> element with a descriptive title and a <desc> element describing the visualization. Input Data Format:

You will receive the incident data as a list of dictionaries (or JSON-like structure). Each dictionary will have the following keys:

date: (string) The date of the event (e.g., “Monday, Jan 1”). event: (string) A description of the event (e.g., “Initial planning discussion about ‘Proj Alpha.’”). location: (string) Location data associated with the event (e.g., “John: Seattle, Jane: Spokane”). severity: (string) The severity level of the event (“Information”, “Suspicious”, “Critical”). participant: (string) The name of the participant associated with the event (e.g. “John”, “Jane”). Example Input Data:

json

Copy block

[ { “date”: “Monday, Jan 1”, “event”: “Initial planning discussion about ‘Proj Alpha.’”, “location”: “John: Seattle, Jane: Spokane”, “severity”: “Information”, “participant”: “John” }, { “date”: “Tuesday, Jan 2”, “event”: “Meeting to discuss exfiltration plan & USB drive.”, “location”: “Both in NYC”, “severity”: “Information”, “participant”: “Jane” }, { “date”: “Wednesday, Jan 3”, “event”: “Data copied to USB, cloud storage setup, request for credentials.”, “location”: “John: San Jose, Jane: Phoenix”, “severity”: “Suspicious”, “participant”: “John” } ] Instructions:

Receive the input data. Generate the HTML code based on the specifications above. Ensure the HTML is well-formatted and valid. Do not include any introductory text or explanations in the output. Only provide the HTML code. Begin! YOUR INPUT DATA ARE [THE RESULTS OF YOUR LAST ANALYSIS - or OTHER DATA DEFINED HERE]"
Email,Determine whether deleted emails can be reconstructed or referenced in system files.,"Cross-correlate email client logs, index.dat, and recovered OST/PST fragments to identify deleted or partially reconstructed email entries, noting sender, recipient, and timestamp."
Email,Identify exfiltration attempts or suspicious attachments.,"Extract and analyze all attachments in user mailboxes for file type, hash, and external transmission history; correlate with known malicious signatures or rare file formats."
Email,Identify key communication patterns and frequency between suspect and contacts.,"Analyze all available email metadata (To, From, CC, Subject, Date) to identify the most frequent correspondents, the average response delay, and potential high-priority communications based on timing and repetition."
Email,Reconstruct email threads to infer intent or timing of actions.,Build conversation threads from email headers and message IDs to reconstruct communication timelines and infer the purpose or escalation of events.
Email + SMS Correlation,Detect attempts to move conversation off email and into SMS or encrypted channels.,Detect emails referencing follow-up discussions by SMS or external platforms; correlate with subsequent SMS messages sent within 30 minutes of those emails.
Email + SMS Correlation,Establish behavioral context from message tone and timing.,Perform sentiment analysis on SMS and email bodies and align them temporally to identify emotional or urgency-driven communications surrounding key events.
Email + SMS Correlation,Reconstruct unified communication patterns across both email and SMS.,Align all timestamps from SMS and email communications in a single timeline to visualize when digital contact frequency peaked across both channels.
Email / SMS / GPS,Link GPS data to Email or SMS data,"Input: exports from GPS Data and Messages in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON. Analyze and cross-correlate all activity BETWEEN THE GPS Data and Messages IF ANY, that would indicate any attempt to access and copy data, any attempt to access an account by an account other than what appears to be its intended owner, any unauthorized access to accounts, any unauthorized access to systems, violate policy, steal funds, steal intellectual property, conspire with others to commit a crime, steal data or violations of sound information security / network security processes that can lead to any of the aforementioned. Include excerpts of the specific log data instead of just referencing the specific data source."
Event Log Analysis,Detect privilege escalation and lateral movement attempts.,"Input: exports from event logs in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON. Correlate Event IDs 4672, 4720, 4728, and 4732 to identify new admin accounts or privilege assignment anomalies."
Event Log Analysis,"Reconstruct user logon, authentication, and process creation activity.","Input: exports from Security.evtx, System.evtx, and Application.evtx in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON. Analyze for Event IDs 4624, 4625, 4688, and 7045 to build a sequence of user logon attempts and process creation history."
File System Forensics,"Reconstruct file creation, modification, and deletion history.","Input: exports from $MFT, $UsnJrnl, and $LogFile records in TXT, CSV, or JSON. Map out detailed file lifecycle events and detect potential data tampering or wiping behavior."
File and Document Forensics,Comprehensive File Activity Correlation,"Input: exports from metadata, file system records ($MFT, $UsnJrnl), and application logs in TXT, CSV, or JSON. Build a complete timeline of document creation, editing, movement, and deletion events."
File and Document Forensics,Document Relationship Mapping - Identify connections between documents and users or devices.,"Input: exports from metadata fields (author, last saved by, revision ID) across multiple documents in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON. Establish a map of contributors or devices involved in content creation."
File and Document Forensics,Document Revision Analysis - Reconstruct document version history and modification intent.,"Input: exports from embedded metadata streams, change tracking, and auto-save fragments in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON. Identify who made which edits and when."
File and Document Forensics,File Entropy and Encryption Detection - Identify possible encrypted or compressed content.,"Input: exports from file contents measurements in TXT, CSV, or JSON. Measure entropy across file contents to flag segments suggesting steganography, password protection, or data obfuscation."
File and Document Forensics,"File Hash and Similarity Comparison - Detect duplicates, altered versions, or tampered files.","Input: exports containing MD5, SHA1, and SHA256 hashes of files in TXT, CSV, or JSON. Compare against known baselines and run fuzzy hashing (ssdeep) to detect near-duplicate variants."
File and Document Forensics,"File Metadata Analysis -Extract authorship, edit history, and provenance of documents.","Input: exports from metadata of Office, PDF, and image files in TXT, CSV, or JSON. Recover author name, creation and modification timestamps, software version, and file origin information."
File and Document Forensics,File Signature and Header Validation - Detect file type spoofing or extension mismatches.,"Input: exports from file header bytes (magic numbers) in TXT, CSV, or JSON. Compare to file extensions to identify renamed or disguised file types used for evasion or exfiltration."
File and Document Forensics,Hidden Data and Embedded Object Analysis - Identify concealed payloads or embedded content in documents.,"Input: exports from OLE streams, ZIP containers, and PDF attachments in TXT, CSV, or JSON. Detect hidden executables, macros, or encrypted data embedded within files."
File and Document Forensics,Image Forensics,"Input: exports from EXIF data including GPS coordinates, timestamps, and device identifiers in TXT, CSV, or JSON. Perform error level analysis (ELA) to detect edited or composited images."
Financial Analysis,Analyze multiple bank statements,"Using this data and no other, these are bank statements for [ORGANIZATION OR PERSON], analyze and summarize the bank statement.  Provide information on the beginning balance, the ending balance, total deposits and additions. Any various withdrawals, transfers and payments made, including checks paid, ATM and debit card withdrawals, electronic withdrawals, and other withdrawals. The annual percentage yield earned across all, the interest paid across all. Any linked accounts, misc. purposes.  List all other bank accounts that funds are transferred in from or out to.  Cross-correlating data found in all Statements, are there any similarities? Are there any same payee�s or transfers back and forth between accounts? Highlight all similarities between accounts and list as in bullet point format."
Financial Analysis,Analyze single bank statement,"Using this data and no other, this is a bank statement #1 for [ORGANIZATION OR PERSON], analyze and summarize the bank statement.  Provide information on the beginning balance, the ending balance, total deposits and additions. Any various withdrawals, transfers and payments made, including checks paid, ATM and debit card withdrawals, electronic withdrawals, and other withdrawals. The annual percentage yield earned for this period, the interest paid for this period, interest paid year-to-date. Any linked accounts, misc. purposes.  List all other bank accounts that funds are transferred in from or out to."
General Forensic Analysis,"Analyze and link various forensic data together like emails, text fragments, SMS, GPS, logs, Shellbags, application server data, web history, USB data, pretty much everything","You now have access to data sources [LIST DATA SOURCE(S) HERE, OR PASTE INTO THIS SECTION OF THE PROMPT].  Using these data sources and no other, Analyze and cross-correlate all activity among all these items that would indicate any attempt to access and copy data, any unauthorized access to systems, violate policy, steal funds, steal intellectual property, sell intellectual property, money changing hands, money associated with sales of any property, conspire with others to commit a crime, steal data or violations of sound information security / network security processes that can lead to any of the aforementioned. Also, what are the significant data security risks, if any. If any are found, please list, and why they indicate a security risk, including specific log data instead of just referencing the specific data source."
JumpList,"Build a single, time-ordered activity timeline integrating all three artifacts","Input: normalized dataset of ShellBag, JumpList, and LNK records exported to TXT, CSV, or JSON.  Create a chronological timeline showing sequential user actions (e.g., folder viewed → file opened → shortcut created).  Group events within ±60 seconds as part of the same activity session.  For each event, show: *Timestamp, *User, *Action (e.g., ""Viewed folder"", ""Opened document"", ""Created shortcut""), *Source (ShellBag / JumpList / LNK), *Full path, * Application (if known).  Include a short natural-language interpretation of the sequence (""User browsed to Project Alpha folder, opened report.docx, then created a shortcut"")."
JumpList,Build a timeline of user interaction inferred from JumpLists.,"Input: parsed JumpList entries exported to TXT, CSV, or JSON with timestamps. Create a timeline of file and folder access derived from JumpLists, sorted chronologically. Include: timestamp, application, opened file/folder path, user, and destination type (Recent/Frequent/Pinned). Label the inferred activity (e.g., ""User opened Excel spreadsheet"")."
JumpList,"Combine raw data from ShellBags, JumpLists, and LNKs into a normalized structure for correlation.","Input: three artifact datasets:  1) ShellBag entries exported to TXT, CSV, or JSON, 2) JumpList entries exported to TXT, CSV, or JSON, 3) LNK file metadata exported to TXT, CSV, or JSON (parsed from user's Recent folder or recovered shortcuts).  Normalize all timestamps to UTC (ISO 8601) and produce a unified dataset where each record includes: Artifact type (ShellBag / JumpList / LNK), User and host, Source file path, Application (if applicable), Event type (Folder View / File Open / Shortcut Created / Last Access), Timestamp, Confidence score (based on artifact reliability).  Output as a JSON array or CSV ready for timeline analysis."
JumpList,Confirm if a specific file was opened via any JumpList.,"Input: target filename or path pattern + parsed JumpList dataset exported to TXT, CSV, or JSON. Search for exact or fuzzy matches. If found, report which application opened it, when, and from which user profile. If not found, provide negative confirmation and suggest complementary artifacts (RecentDocs, LNKs, Prefetch)."
JumpList,Create a heatmap or visual of file access frequency.,"Input: JumpList entries exported to TXT, CSV, or JSON with timestamps. Produce a data format suitable for visualization: fields → {appName, targetPath, accessCount, lastAccessUTC}. Describe how to plot access frequency per application or per folder (e.g., bubble or heatmap visualization)."
JumpList,Detect attempts to hide or manipulate file traces.,"Input: JumpList entries exported to TXT, CSV, or JSON + file system state exported to TXT, CSV, or JSON. Identify JumpList targets that no longer exist on disk. For each missing target, note deletion evidence (from MFT/USN exported to TXT, CSV, or JSON). Highlight if deletion occurred shortly after last JumpList access. Conclude whether the user may have attempted to conceal activity."
JumpList,Detect time anomalies or data manipulation within JumpLists.,"Input: parsed JumpList data exported to TXT, CSV, or JSON. Scan for: timestamps out of chronological order, unrealistic future dates, identical timestamps across multiple entries (automation?), missing metadata blocks.  Output anomalies with an explanation and possible causes (clock skew, tampering, artifact truncation)."
JumpList,Detect typical user workflows (browsing a folder → opening a file → creating a shortcut).,"Input: unified artifact dataset exported to TXT, CSV, or JSON. Identify sequences where: 1. ShellBag records show a folder viewed, 2. JumpList shows a file opened within that folder soon after, 3. LNK creation follows within 5 minutes.  Output each workflow sequence as: [Timestamp] - Folder viewed → [Timestamp] - File opened → [Timestamp] - Shortcut created.  Add a confidence rating and note the total elapsed time between actions."
JumpList,Determine shared file access across multiple systems or users.,"Input: JumpList exports from several hosts or user profiles in TXT, CSV, or JSON. Identify common target file paths, filenames, or volume serials. Produce a comparison table showing which users/systems opened the same files, when, and through which application."
JumpList,Determine which applications the user most frequently interacted with.,"Input: JumpList entries exported to TXT, CSV, or JSON + MFT timestamps exported to TXT, CSV, or JSON + shortcut (LNK) metadata exported to TXT, CSV, or JSON. Correlate entries by target file path and generate grouped evidence showing whether MFT and JumpList timestamps align. Highlight any JumpList entries with no corresponding MFT record (possible external device or deleted file)."
JumpList,Find JumpList entries pointing to removable or network locations.,"Input: JumpList entries exported to TXT, CSV, or JSON with target paths. Identify entries with drive letters typical of removable media (E:, F:, G:, etc.) or UNC paths (\\server\share). For each, output file path, device serial (if available), last accessed time, and the application used to open the file."
JumpList,Generate a visualization-ready dataset and narrative summary.,"Input: unified timeline dataset exported to TXT, CSV, or JSON. Output: 1. A graph-ready JSON schema (nodes = artifacts, edges = chronological transitions) Fields: {id, timestamp, user, artifactType, filePath, application, parentID}, 2. A human-readable summary paragraph describing overall user activity patterns observed. Example: ""Between 2025-03-02 13:20–13:45 UTC, user 'j.smith' browsed to the 'ClientData' folder (ShellBag), opened three spreadsheets (JumpList), and created a shortcut to 'summary.xlsx' (LNK). This suggests routine data processing activity."""
JumpList,Identify traces of deleted or moved files still reflected in historical artifacts.,"Input: unified dataset exported to TXT, CSV, or JSON + current file system inventory exported to TXT, CSV, or JSON.  Find files or folders referenced in any artifact but not present on disk.  Highlight those that appear in multiple artifacts (e.g., ShellBag + JumpList) but were later deleted. Include timestamps of last access and note which artifact preserves the latest trace. Provide reasoning on whether this suggests deletion, wiping, or data exfiltration."
JumpList,Identify unusual or suspicious program use.,"Input: parsed JumpList data exported to TXT, CSV, or JSON + baseline of typical business apps (Office, browser, PDF reader, etc.). Flag any JumpList whose AppID maps to non-standard or portable executables, custom tools, or known hacking utilities. Include timestamp of last activity and path of opened files."
JumpList,"Link activity across multiple endpoints (e.g., same USB or file accessed on multiple systems).","Input: unified datasets from several hosts exported to TXT, CSV, or JSON. Compare by: - Volume serial numbers, - File hashes, - Common paths or filenames, Identify cases where the same file or removable device appears in different users’ timelines.  Output a host correlation matrix summarizing shared evidence, last access times, and possible file transfer events."
JumpList,Locate JumpList entries matching investigation keywords.,"Input: JumpList entries exported to TXT, CSV, or JSON + list of keywords (e.g., ""confidential"", ""invoice"", ""Alpha""). Search filenames, paths, and AppIDs for matches. Return a list of matching entries sorted by most recent access time, including file path, AppID, and user profile location."
JumpList,Show user activity involving cloud storage folders.,"Input: JumpList targets exported to TXT, CSV, or JSON. Detect paths referencing known cloud sync locations (OneDrive, Dropbox, Google Drive). Summarize activity per service (number of files accessed, last access time). Include an interpretation section explaining user engagement with cloud folders."
JumpList,Trace removable drive or network share access across multiple artifact types.,"Input: unified dataset exported to TXT, CSV, or JSON.  Filter entries referencing removable drives (E:, F:, etc.) or UNC paths (\\server\share).  For each drive/share, correlate ShellBag folder views, JumpList file opens, and LNK shortcut creation.  Output a per-device summary: - Volume serial number or UNC path, - First and last interaction, - Applications used, - File paths accessed.  Interpret if the user copied or interacted with external data."
JumpList,Track USB device movement across endpoints via JumpList evidence.,"Input: JumpList entries exported to TXT, CSV, or JSON referencing removable drives. Cross-match volume serial numbers across multiple users or systems. Report where each USB volume appeared, the associated file paths, and last access timestamps."
Link File (.LNK),Provide a report of .LNK targets and date information,You now have access to data source [DATA SOURCE OR .LNK NAMES].  This is a Windows link file (shortcut file). Analyze the metadata of this data and report what the destination file(s) is/are.
Log Analysis,"Analyze and link various logs together like VPN, Firewall, Application logs","Your data sources for this task are [IDENTIFY OR PASTE HERE IN THIS PROMPT]. Analyze and cross-correlate all activity in the following logs, and no other, that would indicate any attempt to access and copy data, any attempt to access an account by an account other than what appears to be its intended owner, any unauthorized access to accounts, any unauthorized access to systems, violate policy, steal funds, steal intellectual property, conspire with others to commit a crime, steal data or violations of sound information security / network security processes that can lead to any of the aforementioned. Include excerpts of the specific log data instead of just referencing the specific data source."
Log Analysis,OWA Log Analysis,"Examining this Microsoft IIS / OWA log file, what inconsistencies are there? Based on this data and no other,  Analyze and cross-correlate all activity that would indicate any attempt to access and copy data, any attempt to access an account by an account other than what appears to be its intended owner, any unauthorized access to accounts, any unauthorized access to systems, violate policy, steal funds, steal intellectual property, conspire with others to commit a crime, steal data or violations of sound information security / network security processes that can lead to any of the aforementioned.  Include excerpts of the specific log data instead of just referencing the specific data source."
Log Analysis,SecurityLog Analysis,"Analyze and cross-correlate all activity in the following logs, and no other, that would indicate any attempt to access and copy data, any attempt to access an account by an account other than what appears to be its intended owner, any unauthorized access to accounts, any unauthorized access to systems, violate policy, steal funds, steal intellectual property, conspire with others to commit a crime, steal data or violations of sound information security / network security processes that can lead to any of the aforementioned. Include excerpts of the specific log data instead of just referencing the specific data source."
MRU,"Correlate MRU usage within specific applications (Office, Adobe, etc.).","Input: MRU dataset exported to TXT, CSV, or JSON categorized by registry key/application. For each application, list the top 10 most recently accessed files and their paths. If multiple MRU sources (Office recent files + Explorer RecentDocs) mention the same file, merge records and output the unified access history. Summarize user workflow for each application (e.g., “Excel: opened budget.xlsx 4 times between June 10–12”)."
MRU,Create a chronological timeline of MRU activity.,"Input: parsed MRU entries exported to TXT, CSV, or JSON with LastWrite timestamps. Sort all entries chronologically by LastWriteUTC. For each event, show: - Timestamp, - Artifact type, - MRU key name, - Decoded entry value, - User and hive source. Output a combined timeline (CSV or text) and highlight bursts of activity (multiple MRU updates within minutes)."
MRU,Cross-correlate MRU data with ShellBags and JumpLists to confirm file access.,"Input: MRU dataset exported to TXT, CSV, or JSON + parsed ShellBag and JumpList data exported to TXT, CSV, or JSON. Match entries by file/folder path or name. For each match, output: - File/folder name, - Artifact types it appears in, - First and last timestamps, - Application (if known), Provide an interpretation: ""User searched for 'proposal.docx' (WordWheelQuery), navigated to folder via ShellBag, and opened it via JumpList in Word."""
MRU,Cross-correlate MRUs with Prefetch and JumpLists to confirm actual file execution/opening.,"Input: MRU dataset exported to TXT, CSV, or JSON + JumpList exported to TXT, CSV, or JSON + Prefetch entries exported to TXT, CSV, or JSON. Correlate by filename, path, or hash. For each file referenced in MRU: - Check if Prefetch exists (indicates execution), - Check if JumpList entry exists (indicates opening via app), Output a confidence-scored assessment of whether each file was viewed or executed. Example: File: report.pdf, MRU (RecentDocs): yes, JumpList (Acrobat): yes, Prefetch (Acrobat.exe): yes, → CONFIRMED user opened report.pdf with Acrobat on 2025-03-12T15:31Z."
MRU,Detect activity involving USB drives or network shares.,"Input: MRU dataset exported to TXT, CSV, or JSON.  Flag entries whose paths contain: - Drive letters typical of removable media (E:, F:, G:) - UNC paths (\\server\share).  For each, record: - MRU type and key, - Path, - Timestamp, - Application (if identifiable), Summarize removable or network activity patterns (e.g., “Files from \\FinanceServer accessed via Word in June 2025”)."
MRU,"Determine what the user recently searched, opened, or ran.","Input: normalized MRU dataset exported to TXT, CSV, or JSON. Summarize user intent by category: - Files recently opened (OpenSavePidlMRU, RecentDocs), - Folders recently visited (LastVisitedPidlMRU, TypedPaths), - Commands or executables run (RunMRU), - Search queries typed (WordWheelQuery), Output a narrative summary for each category: Example: ""User recently searched for 'client data', opened 'report.xlsx' from 'E:\USB_DRIVE\', and navigated to 'C:\Users\John\Documents\Invoices'."""
MRU,Identify file names or paths common to MRU datasets from multiple endpoints.,"Input: MRU exports from multiple computers in TXT, CSV, or JSON. Compare decoded entry values (filenames, paths). Highlight matches across hosts (same filename or same path) and timestamps.  Output a correlation matrix showing which systems reference which files, potentially indicating file sharing, transfer, or synchronized drives."
MRU,Identify sensitive or investigation-relevant terms in MRU data.,"Input: MRU entries exported to TXT, CSV, or JSON + keyword list (e.g., ""confidential"", ""alpha project"", ""finance""). Search MRU values and decoded entries for keywords (case-insensitive). Return all matches with registry key, timestamp, and user. Highlight matching categories (search query, filename, path). Summarize possible context of each match in one sentence."
MRU,Parse and normalize all MRU registry keys for analysis.,"Input: exports from registry hives (NTUSER.DAT, UsrClass.dat) in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON from a Windows profile. Extract and parse all MRU keys including: - HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs, -OpenSavePidlMRU, - ... \LastVisitedPidlMRU, - ...\TypedPaths, - ...\WordWheelQuery, - ...\RunMRU For each MRU entry, extract: - Registry key path, - MRU list index (order), - Value name & data (decoded to readable string), - LastWrite timestamp (UTC), Normalize all results into a single table with fields: [ArtifactType, User, KeyPath, EntryName, EntryValue, MRUIndex, LastWriteUTC].  Output as JSON or CSV for timeline correlation."
MRU,Prepare MRU data for visualization (timeline or heatmap).,"Input: normalized MRU dataset exported to TXT, CSV, or JSON. Output JSON with fields: { ""timestamp"": ""2025-03-12T15:20Z"", ""artifactType"": ""OpenSavePidlMRU"", ""key"": ""Software\\Microsoft\\Windows\\CurrentVersion\\Explorer\\OpenSavePidlMRU\\docx"", ""entryValue"": ""C:\\Users\\John\\Documents\\invoice.docx"", ""user"": ""john"", ""confidence"": 0.9 }  Describe how to visualize: - Time on X-axis, - File type/category on Y-axis, - Color/size by frequency or artifact type, Include suggestion for grouping events into “work sessions.”"
MRU,Recover evidence of files deleted after being used.,"Input: MRU dataset exported to TXT, CSV or JSON + MFT or USN journal exported to TXT, CSV or JSON (if available). Identify MRU entries referencing files that are now deleted. Cross-check timestamps with file system deletion records. Output a table: [FileName | MRU Type | MRU Timestamp | Deletion Timestamp | Application] Add interpretation on whether deletion followed shortly after MRU update (suggesting concealment)."
Memory Forensics,"Identify active processes, open network connections, and injected code.","Input: exports from memory analysis tools (e.g., Volatility, Rekall) in TXT, CSV, or JSON. Enumerate running processes, extract loaded DLLs, and detect anomalous code injections or hidden threads."
Memory and Malware Forensics,Anti-Forensic Technique Detection,Search memory for evidence of anti-analysis tools or manipulation Identify obfuscation or tampering within memory samples Summary of anti-forensic artifacts and techniques used
Memory and Malware Forensics,Anti-Forensics Behavior Detection,Identify evidence of memory wiping  process hiding  or API unhooking Detect deliberate attempts to hinder forensic recovery Table of anti-forensic techniques and affected system components
Memory and Malware Forensics,Code Injection Detection,Inspect process memory regions for injected code or DLLs Identify memory injection techniques used by malware List of affected processes and injected module hashes
Memory and Malware Forensics,Command Line Artifact Recovery,Extract and reconstruct executed commands from memory Rebuild attacker’s command execution timeline Table of command-line inputs with timestamps and originating processes
Memory and Malware Forensics,Command and Control (C2) Beacon Detection,Analyze memory-resident network artifacts for C2 traffic patterns Detect ongoing communication between infected hosts and attacker servers List of C2 IPs  domains  and process associations
Memory and Malware Forensics,Credential Artifact Recovery,Search memory image for cached credentials or password hashes Recover compromised authentication data Recovered credentials with associated process or service
Memory and Malware Forensics,Encrypted Payload Detection,Identify encrypted regions of memory likely containing obfuscated malware Detect staged or fileless malware components Memory region map showing high-entropy sections and associated process IDs
